#{"t_start": 1592064354.734508, "env_id": "futbol-v1"}
r,l,t
395.43786,300,63.941787
2068.471115,300,64.085393
588.266155,300,64.187642
-1073.272686,300,64.309444
1046.546056,300,64.435288
-756.182955,300,64.602118
3396.668236,300,64.734461
730.29091,300,64.875401
2043.970545,300,65.038715
-694.324785,300,65.129698
-660.816378,300,65.241748
865.568924,300,65.418374
2571.033963,300,65.542717
-45.909141,300,65.680029
-728.582927,300,65.815624
2047.840825,300,65.963254
76.976268,300,66.053181
2198.665362,300,66.152629
-950.022238,300,66.331002
-908.276486,300,66.464273
588.207386,300,66.59218
576.72794,300,66.734506
-630.104409,300,66.910747
224.924674,300,67.030814
-878.601056,300,67.153754
703.819027,300,67.313927
786.820653,300,67.436744
908.935305,300,67.563087
1886.674385,300,67.685608
-768.249157,300,67.84852
354.454645,300,67.940484
617.919481,300,68.057608
-1191.231153,300,68.198572
1134.506265,300,68.292711
1610.682897,300,68.414104
1011.940697,300,68.58421
-1403.195259,300,68.712798
661.489016,300,68.846232
1982.366197,300,68.946066
979.631213,300,69.077961
2134.352086,300,69.203597
1826.765293,300,69.337994
756.282194,300,69.520013
2108.775733,300,69.652119
862.370234,300,69.789011
867.627799,300,69.89176
